Status settings, Configuración de estado
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Redireccionando a Transferencia Bancaria Online. Pago todavía no completado. ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h"
"Payment aborted. Time: %s","Pago cancelado. Fecha y hora: %s h"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]",Transacción de Transferencia Bancaria Online efectuada correctamente - ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","No se ha podido confirmar el abono en la cuenta bancaria. Por favor, revise el pago. Fecha y hora: [[date]] h"
"The payment has been received on your SOFORT Bank account. Time: [[date]]",Se ha abonado el importe en la cuenta bancaria. Fecha y hora: [[date]] h
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Se ha detectado un importe diferente al del pedido en la cuenta bancaria. Por favor, revise el pago. Fecha y hora: [[date]] h"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Se va a reembolsar una parte del importe - [[refunded_amount]]. Fecha y hora: [[date]] h"
"Amount will be refunded. Time: [[date]]","Se va a reembolsar el importe. Fecha y hora: [[date]] h"
Select the time of invoicing,Seleccione la hora de facturación:
It is not recommended to change this setting,(no se recomienda modificar este ajuste)
After finishing the payment,Tras completar el pago
The receipt of the money ( can be only detected with an account with SOFORT Bank),Al recibir el dinero (solo se puede confirmar si se dispone de una cuenta bancaria de Deutsche Handelsbank)
"If the status shouldn't be updated for this event, please choose as status %s","Si el estado de esta operación no se actualiza con el evento realizado , seleccione el estado %s"
Create credit memo automatically,Crear el abono en cuenta automáticamente
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Se creará automáticamente un abono en cuenta si se ha devuelto el importe de una transacción en el sistema de Sofort.
en,es_es
"Send order confirmation","Enviar confirmación de la orden"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Redireccionando a Transferencia Bancaria Online. Pago todavía no completado. ID de la transacción: [[transaction_id]]. Fecha y hora: [[date]] h"
"Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method.","El pago no es posible o ha sido cancelado por el cliente. Por favor seleccione otro método de pago."
"Module Configuration","Configuración del módulo"
Payment Applicable From,Pago aplicable de
Countries Payment Applicable From,Pagos Países Aplicables de
Accepted Currency,Moneda aceptada
"(recommended payment methode)", "(método de pago recomendado)"
"Recommended payment method","Método de pago recomendado"
"Enable Logging","Habilitar el registro"
"Position in Checkout","Posición en Checkout"
"Order Status configuration","Configuración del estado del pedido"
CUSTOMER_LANDINGPAGE,"https://documents.sofort.com/sb/informacion-clientes/"
