Status settings, Statuseinstellungen
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,"Definieren Sie den Status für Bestellungen, die vollständig im Anbietermenü der Sofort GmbH zur Rückbuchung vorgemerkt wurden. Beachten Sie, dass Rückbuchungen i.d.R. dort manuell zur Ausführung gebracht werden müssen.)"
Order status for payment receipt:,Bestellstatus für Geldeingang
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(Definieren Sie den Status für Bestellungen, für die ein Geldeingang auf Ihrem Bank-Konto festgestellt wurde. Benötigt ein Deutsche Handelsbank Konto.)"
Order status for losses:,Bestellstatus für Zahlungsausfälle
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),"(Definieren Sie den Status für Bestellungen, für die kein Geldeingang festgestellt wurde oder ein abweichender Betrag auf Ihrem Bank-Konto eingegangen ist. Benötigt ein Deutsche Handelsbank Konto.)"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Weiterleitung zu Sofort Zahlung noch nicht abgeschlossen. Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr"
"Payment aborted. Time: %s","Bezahlung abgebrochen. Zeit: %s Uhr"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]",Sofort erfolgreich abgeschlossen - Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]",Es konnte kein Geldeingang auf dem Bank-Konto festgestellt werden. Bitte überprüfen Sie die Bezahlung. Zeit: [[date]] Uhr
"The payment has been received on your SOFORT Bank account. Time: [[date]]",Betrag ist auf dem Bank-Konto eingegangen Zeit: [[date]] Uhr
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Es wurde ein von der Bestellung abweichender Betrag auf dem Bank-Konto festgestellt. Bitte überprüfen Sie die Bezahlung. Zeit: [[date]] Uhr"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Teilbetrag wird erstattet - [[refunded_amount]]. Zeit: [[date]] Uhr"
"Amount will be refunded. Time: [[date]]","Betrag wird erstattet. Zeit: [[date]] Uhr"
Select the time of invoicing,Wählen Sie den Zeitpunkt der Rechnungserstellung
It is not recommended to change this setting,(Es wird nicht empfohlen diese Einstellung zu verändern)
After finishing the payment,Nach Abschluss der Zahlung
The receipt of the money ( can be only detected with an account with SOFORT Bank),Bei Erhalt des Geldes (kann nur mit Deutsche Handelsbank-Konto festgestellt werden)
"If the status shouldn't be updated for this event, please choose as status %s","Wenn keine Statusaktualisierung für dieses Event durchgeführt werden soll, wählen Sie als Status %s"
Create credit memo automatically,Gutschrift automatisch erstellen
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,"Es wird automatisch eine Gutschrift  erstellt, wenn einer Transaktion im Sofort System komplett zurückgebucht wurde."
en,de_de
"Send order confirmation","Bestellbestätigung senden"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Weiterleitung zu Sofort Zahlung noch nicht abgeschlossen. Transaktions-ID: [[transaction_id]]. Zeit: [[date]] Uhr"
"Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method.", "Die gewählte Zahlart ist leider nicht möglich, oder wurde auf Kundenwunsch abgebrochen. Bitte wählen Sie eine andere Zahlart."
"Module Configuration","Modulkonfiguration"
Payment Applicable From,Zahlung anwendbar von
Countries Payment Applicable From,Länderzahlung anwendbar von
Accepted Currency,Akzeptierte Währung 
"(recommended payment methode)", "(empfohlene Zahlart)"
"Recommended payment method","Empfohlene Zahlart"
"Enable Logging","Aktiviere Logging"
"Position in Checkout","Position im Checkout"
"Order Status configuration","Bestell Status Einstellungen"
CUSTOMER_LANDINGPAGE,"https://documents.sofort.com/sue/kundeninformationen/"
