Status settings, Ustawienia dotyczące statusu 
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Pomyślnie dokonany Przelew elektroniczny z Przelew elektroniczny. - numer transakcji: [[transaction_id]]. Godzina: [[date]]"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Nie odnotowano wpływu pieniędzy na koncie. Sprawdź proszę szczegóły płatności. Godzina: [[date]]"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Kwota wpłynęła na konto. Godzina: [[date]]"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Na konto w wpłynęła inna kwota, niż kwota zamówienia. Sprawdź proszę szczegóły płatności. Godzina: [[date]]"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Część kwoty zostanie zwrócona - [[refunded_amount]]. Godzina: [[date]]"
"Amount will be refunded. Time: [[date]]","Kwota zostanie zwrócona. Godzina: [[date]]"
Select the time of invoicing,Wybierz datę wystawienia rachunku
It is not recommended to change this setting,(nie zaleca się dokonywania zmian w tym ustawieniu)
After finishing the payment,Po zakończeniu płatności
The receipt of the money ( can be only detected with an account with SOFORT Bank),W momencie otrzymania pieniędzy (moment ten można stwierdzić tylko z kontem Deutche Handelsbank)
"If the status shouldn't be updated for this event, please choose as status %s","Jeżeli status tego wydarzenia nie ma być aktualizowany, jako status wybierz  %s"
Create credit memo automatically,Wygeneruj automatycznie notę uznaniową
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Jeżeli transakcja została zaznaczona do Przelew elektronicznyu zwrotnego w systemie Sofort, nota uznaniowa zostanie wygenerowana automatycznie.
en,pl_pl
"Send order confirmation","Wysłać potwierdzenie zamówienia"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Przekierowanie do Przelew elektroniczny. Płatność nie została jeszcze zakończona. Numer transakcji: [[transaction_id]]. Godzina: [[date]]"
"Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method.", "Płatność nie jest możliwa lub została anulowana przez klienta. Wybierz inną metodę płatności."
"Module Configuration","Konfiguracja modułu"
Payment Applicable From,Płatność obowiązująca od
Countries Payment Applicable From,Kraje Płatność obowiązuje od
Accepted Currency,Akceptowana waluta
"(recommended payment methode)", "(zalecana metoda płatności)"
"Recommended payment method","Zalecana metoda płatności"
"Enable Logging","Włącz rejestrowanie"
"Position in Checkout","Pozycja w kasie"
"Order Status configuration","Zamów konfigurację statusu"
CUSTOMER_LANDINGPAGE,"https://documents.sofort.com/sb/informacje-klienta/"
