Status settings, Configuration du statut
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,Définissez l'état des commandes retenues pour un remboursement complet au menu commerçant de Sofort GmbH. Veuillez noter qu'il s'agit généralement de remboursements à effectuer manuellement.
Order status for payment receipt:,État de commande pour les entrées d'argent
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Définissez l'état des commandes pour lesquelles une entrée d'argent a été constatée sur votre compte bancaire. Nécessite un compte Deutsche Handelsbank.)
Order status for losses:,État de commande pour les défauts de paiement :
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Définissez l'état des commandes pour lesquelles aucune entrée d'argent n'a été constatée ou pour lesquelles un montant divergent a été constaté sur votre compte bancarie. Nécessite un compte Deutsche Handelsbank.)
Internal transaction ID of SOFORT AG: %s (please specify for support requests).,N° de transaction Sofort GmbH: %s (prier d'indiquer en cas de questions au support).
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Redirection vers Virement Bancaire. Paiement pas encore terminé. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
"Payment aborted. Time: %s","Paiement interrompu. Heure : %s heures"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Virement avec Virement Bancaire effectué avec succès. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Aucune entrée d'argent sur le compte Bancaire. n'a pu être constatée. Veuillez vérifier le paiement. Heure : [[date]] heures"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Le montant a été viré sur le compte Bancaire. Heure : [[date]] heures"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Le montant viré sur le compte Bancaire. ne correspond pas au montant de la commande. Veuillez vérifier le paiement. Heure : [[date]] heures"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Remboursement partiel du montant - [[refunded_amount]]. Heure : [[date]] heures"
"Amount will be refunded. Time: [[date]]","Remboursement du montant. Heure : [[date]] heures"
Select the time of invoicing,Sélectionnez le moment de l'émission de la facture
It is not recommended to change this setting,(il n'est pas recommandé de ne modifier cette configuration)
After finishing the payment,Une fois le paiement effectué
The receipt of the money ( can be only detected with an account with SOFORT Bank),La réception du paiement (ne peut être constaté qu'avec un compte Deutsche Handelsbank)
"If the status shouldn't be updated for this event, please choose as status %s","Si aucune mise à jour de statut ne doit être effectuée pour cet événement, choisissez le statut %s."
Create credit memo automatically,Générer un avoir automatiquement
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Un avoir est généré automatiquement lorsqu'une transaction a été totalement remboursée dans le système Sofort.
en,fr_fr
"Send order confirmation","Envoyer la confirmation de commande"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Redirection vers Virement Bancaire. Paiement pas encore terminé. N° de transaction : [[transaction_id]]. Heure : [[date]] heures"
"Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method.", "Le paiement n'est malheureusement pas possible ou a été annulé par le client. Veuillez sélectionner un autre mode de paiement"
"Module Configuration","Configuration du module"
Payment Applicable From,Paiement applicable à partir de
Countries Payment Applicable From,Pays Paiement applicable à partir de
Accepted Currency,Devise acceptée
"(recommended payment methode)", "(méthode de paiement recommandée)"
"Recommended payment method","Méthode de paiement recommandée"
"Enable Logging","Activer la journalisation"
"Position in Checkout","Position dans la caisse"
"Order Status configuration","Configuration du statut de la commande"
CUSTOMER_LANDINGPAGE,"https://documents.sofort.com/sb/information-client-be/"
